item,avg_rating,rank,rating_sd,number_ratings,character
insulting (not complimentary),77.3,245,19.5,92,Edna Krabappel
feisty (not gracious),77.1,439,19.2,274,Edna Krabappel
judgemental (not accepting),77.1,311,24.3,255,Edna Krabappel
debased (not pure),77,257,19.6,322,Edna Krabappel
boy/girl-next-door (not celebrity),76.9,393,19.2,40,Edna Krabappel
mundane (not extraordinary),76.7,54,20.9,379,Edna Krabappel
skeptical (not spiritual),76.5,470,22,346,Edna Krabappel
vintage (not trendy),76.5,475,21,48,Edna Krabappel
everyman (not chosen one),76.5,84,21.5,36,Edna Krabappel
cocky (not timid),76.5,626,24.7,30,Edna Krabappel
gendered (not androgynous),76.1,863,25.6,142,Edna Krabappel
bossy (not meek),75.9,660,22.6,397,Edna Krabappel
haunted (not blissful),75.8,467,22,38,Edna Krabappel
🎨 (not 🏀),75.7,577,23.5,50,Edna Krabappel
neurotypical (not autistic),75.6,403,21.4,340,Edna Krabappel
unlucky (not fortunate),75.5,196,19.9,366,Edna Krabappel
😭 (not 😀),75.4,128,23.1,110,Edna Krabappel
💔 (not 💝),75.2,201,27.2,168,Edna Krabappel
cringeworthy (not inspiring),75,195,20.4,73,Edna Krabappel
bitter (not sweet),74.7,323,22.4,365,Edna Krabappel
conventional (not creative),74.6,193,23,398,Edna Krabappel
repetitive (not varied),74.5,152,22.1,146,Edna Krabappel
low-tech (not high-tech),74.3,271,18.5,289,Edna Krabappel
frank (not sugarcoated),74.1,647,27.8,30,Edna Krabappel
salacious (not wholesome),74.1,285,24.2,84,Edna Krabappel
sorrowful (not cheery),73.7,388,21,369,Edna Krabappel
apathetic (not curious),73.5,39,26.4,324,Edna Krabappel
🚴 (not 🏋️‍♂️),73.5,569,21.7,83,Edna Krabappel
indulgent (not sober),73.4,372,27,365,Edna Krabappel
jaded (not innocent),73.3,602,24.6,32,Edna Krabappel
bold (not shy),73,1097,22.1,348,Edna Krabappel
suspicious (not trusting),73,450,23,370,Edna Krabappel
direct (not roundabout),72.8,616,26.5,344,Edna Krabappel
worldly (not innocent),72.8,684,23.9,386,Edna Krabappel
practical (not imaginative),72.7,502,24.7,315,Edna Krabappel
🛌 (not 🧗),72.7,154,27.2,187,Edna Krabappel
biased (not impartial),72.4,466,24.6,271,Edna Krabappel
exhibitionist (not bashful),72.1,425,21.3,53,Edna Krabappel
irrelevant (not important),72.1,33,21.3,166,Edna Krabappel
gloomy (not sunny),72,457,26,43,Edna Krabappel
🐴 (not 🦄),71.9,395,26.9,103,Edna Krabappel
🙃 (not 🥰),71.8,274,25.6,162,Edna Krabappel
work-first (not family-first),71.4,461,26.2,330,Edna Krabappel
dominant (not submissive),71.2,779,27.6,371,Edna Krabappel
feminine (not masculine),71,492,22.8,411,Edna Krabappel
playful (not shy),70.8,789,23.2,346,Edna Krabappel
flower child (not goth),70.5,614,27.5,50,Edna Krabappel
impatient (not patient),70.3,628,24.7,146,Edna Krabappel
non-gamer (not gamer),70.1,563,36.2,44,Edna Krabappel
uninspiring (not charismatic),69.7,68,26.6,304,Edna Krabappel
desperate (not high standards),69.7,234,32.3,52,Edna Krabappel
real (not philosophical),69.6,485,27,258,Edna Krabappel
authoritarian (not democratic),69.5,385,26.8,352,Edna Krabappel
hypocritical (not equitable),69.4,343,27,77,Edna Krabappel
traumatized (not flourishing),69.3,655,23.7,50,Edna Krabappel
entitled (not grateful),69.3,506,25.3,44,Edna Krabappel
quarrelsome (not warm),69.2,559,24.3,360,Edna Krabappel
lewd (not tasteful),69.1,215,24.2,351,Edna Krabappel
tense (not relaxed),69.1,1000,26.6,377,Edna Krabappel
chortling (not giggling),69.1,514,25.3,47,Edna Krabappel
cynical (not gullible),69,670,29.4,42,Edna Krabappel
old (not young),68.9,405,16.6,404,Edna Krabappel
opinionated (not neutral),68.9,1219,25,54,Edna Krabappel
realist (not idealist),68.8,389,29.4,87,Edna Krabappel
lost (not enlightened),68.8,372,24.7,46,Edna Krabappel
😈 (not 😇),68.7,461,25.1,123,Edna Krabappel
scandalous (not proper),68.6,540,27.6,292,Edna Krabappel
selfish (not altruistic),68.4,457,23.9,356,Edna Krabappel
🥴 (not 🥳),68.4,377,28.7,122,Edna Krabappel
antagonist (not protagonist),68.3,229,23.2,41,Edna Krabappel
unmotivated (not motivated),68.2,54,31.2,46,Edna Krabappel
chatty (not reserved),68.1,577,24.9,370,Edna Krabappel
nerd (not jock),67.9,717,26.1,365,Edna Krabappel
methodical (not astonishing),67.8,565,25.2,321,Edna Krabappel
tiresome (not interesting),67.8,112,26.5,305,Edna Krabappel
wild (not tame),67.8,750,25.8,326,Edna Krabappel
crazy (not sane),67.8,508,25.2,101,Edna Krabappel
lover (not fighter),67.8,453,25.7,43,Edna Krabappel
straightforward (not cryptic),67.7,680,28.3,307,Edna Krabappel
loud (not quiet),67.7,637,24.9,352,Edna Krabappel
jealous (not compersive),67.7,433,24.2,260,Edna Krabappel
hard (not soft),67.6,612,22.6,349,Edna Krabappel
vengeful (not forgiving),67.6,553,24.2,349,Edna Krabappel
cold (not warm),67.6,463,24.7,338,Edna Krabappel
📉 (not 📈),67.6,99,28.9,102,Edna Krabappel
rough (not smooth),67.4,429,24.1,314,Edna Krabappel
night owl (not morning lark),67.4,674,29.7,257,Edna Krabappel
rock (not rap),67.4,1171,31.8,35,Edna Krabappel
interrupting (not attentive),67.4,445,27.2,47,Edna Krabappel
luddite (not technophile),67.3,301,21.4,249,Edna Krabappel
competitive (not cooperative),67.2,794,26.4,352,Edna Krabappel
badass (not weakass),67.2,1068,26.8,57,Edna Krabappel
poor (not rich),67.1,387,22.2,306,Edna Krabappel
ironic (not profound),67,307,25.3,64,Edna Krabappel
tailor (not blacksmith),66.9,671,28.5,35,Edna Krabappel
💃 (not 🧕),66.7,788,30.6,161,Edna Krabappel
bad-cook (not good-cook),66.7,404,27.8,41,Edna Krabappel
stingy (not generous),66.7,364,26.2,60,Edna Krabappel
intellectual (not physical),66.6,833,25.9,363,Edna Krabappel
underachiever (not overachiever),66.5,144,30,45,Edna Krabappel
geriatric (not vibrant),66.4,165,25.6,39,Edna Krabappel
classical (not avant-garde),66.4,524,27,85,Edna Krabappel
mad (not glad),66.3,621,25.1,113,Edna Krabappel
queen (not princess),66.3,777,25.9,38,Edna Krabappel
subdued (not exuberant),66.2,268,27.7,50,Edna Krabappel
shallow (not deep),65.8,268,27.3,132,Edna Krabappel
paranoid (not naive),65.8,623,26.4,32,Edna Krabappel
assertive (not passive),65.6,1015,27.3,299,Edna Krabappel
ferocious (not pacifist),65.5,792,24.1,360,Edna Krabappel
resigned (not resistant),65.5,43,30,312,Edna Krabappel
🐀 (not 🐘),65.3,370,30,153,Edna Krabappel
stubborn (not accommodating),65.3,1058,30.5,66,Edna Krabappel
🧙 (not 👨‍🚀),65.2,499,26.8,158,Edna Krabappel
realistic (not fantastical),65.1,695,32.2,41,Edna Krabappel
🙅‍♂️ (not 🙋‍♂️),65.1,344,27.6,102,Edna Krabappel
contrarian (not yes-man),65.1,699,26.4,35,Edna Krabappel
literal (not metaphorical),65,618,27.3,321,Edna Krabappel
rude (not respectful),64.9,428,25.1,375,Edna Krabappel
nihilist (not existentialist),64.8,142,29.8,56,Edna Krabappel
mischievous (not well behaved),64.7,817,26.6,339,Edna Krabappel
arrogant (not humble),64.6,737,22.5,348,Edna Krabappel
blue-collar (not ivory-tower),64.6,580,28,377,Edna Krabappel
unambitious (not driven),64.6,54,29.5,332,Edna Krabappel
straight (not queer),64.6,1129,32.1,134,Edna Krabappel
realistic (not ambitious),64.6,304,31,49,Edna Krabappel
often crying (not never cries),64.6,437,27.6,35,Edna Krabappel
dry (not moist),64.5,424,28.5,45,Edna Krabappel
street-smart (not sheltered),64.4,867,28.5,307,Edna Krabappel
demonic (not angelic),64.3,476,21.5,337,Edna Krabappel
deranged (not reasonable),64.3,462,26.7,90,Edna Krabappel
cunning (not honorable),64.1,468,24.1,382,Edna Krabappel
heathen (not devout),64.1,412,27.3,336,Edna Krabappel
orange (not purple),64,392,30.5,259,Edna Krabappel
thrifty (not extravagant),63.9,551,28.2,52,Edna Krabappel
envious (not prideful),63.8,79,29.2,48,Edna Krabappel
thick-skinned (not sensitive),63.7,609,27.8,329,Edna Krabappel
cannibal (not vegan),63.7,547,26.9,43,Edna Krabappel
earth (not air),63.6,766,31.3,53,Edna Krabappel
trash (not treasure),63.5,216,24.1,129,Edna Krabappel
🧠 (not 💪),63.5,1050,27.4,124,Edna Krabappel
anxious (not calm),63.4,754,27.5,360,Edna Krabappel
hard-work (not natural-talent),63.4,794,27.6,51,Edna Krabappel
vain (not demure),63.3,644,25.7,324,Edna Krabappel
dorky (not cool),63.3,516,27.8,90,Edna Krabappel
believable (not poorly-written),63.2,1503,27.7,40,Edna Krabappel
monochrome (not multicolored),63.1,561,30.2,63,Edna Krabappel
decisive (not hesitant),62.9,1038,27.2,349,Edna Krabappel
spicy (not mild),62.9,880,29.1,350,Edna Krabappel
hard (not soft),62.9,744,28.3,102,Edna Krabappel
oxymoron (not tautology),62.7,366,25,21,Edna Krabappel
unambiguous (not mysterious),62.6,646,29.4,326,Edna Krabappel
disreputable (not prestigious),62.6,353,27.5,282,Edna Krabappel
masochistic (not pain-avoidant),62.6,460,30.3,41,Edna Krabappel
scientific (not artistic),62.5,731,24.1,327,Edna Krabappel
angry (not good-humored),62.5,527,24.6,329,Edna Krabappel
👟 (not 🥾),62.5,599,32.8,128,Edna Krabappel
perverted (not clean),62.5,396,29.8,51,Edna Krabappel
🐩 (not 🐒),62.4,670,32,109,Edna Krabappel
twitchy (not still),62.4,808,26.3,52,Edna Krabappel
civilized (not barbaric),62.2,1052,26.1,342,Edna Krabappel
literary (not mathematical),62.2,785,28.4,293,Edna Krabappel
individualist (not communal),62.2,801,30.1,73,Edna Krabappel
slugabed (not go-getter),62.2,96,28.9,87,Edna Krabappel
impulsive (not cautious),62,704,28.6,359,Edna Krabappel
atheist (not theist),62,817,28.7,88,Edna Krabappel
oblivious (not alert),62,364,26,96,Edna Krabappel
preppy (not punk rock),62,868,31.1,52,Edna Krabappel
demanding (not unchallenging),62,1272,30.2,53,Edna Krabappel
suspicious (not awkward),61.9,944,26.1,302,Edna Krabappel
scholarly (not crafty),61.9,469,29.3,371,Edna Krabappel
mature (not juvenile),61.9,819,27.2,70,Edna Krabappel
pack rat (not minimalist),61.9,427,28.2,90,Edna Krabappel
exaggerating (not factual),61.9,678,27.8,42,Edna Krabappel
complicated (not simple),61.8,1029,29.5,287,Edna Krabappel
studious (not goof-off),61.8,1100,30,96,Edna Krabappel
receiving (not giving),61.8,498,27.4,44,Edna Krabappel
emotional (not logical),61.7,750,27.7,353,Edna Krabappel
alpha (not beta),61.7,984,29.5,279,Edna Krabappel
stinky (not fresh),61.7,347,28.7,187,Edna Krabappel
rigid (not flexible),61.6,709,27.4,298,Edna Krabappel
mainstream (not arcane),61.6,366,29.7,333,Edna Krabappel
urban (not rural),61.6,1073,29.3,139,Edna Krabappel
libertarian (not socialist),61.5,450,29.7,246,Edna Krabappel
plays hard (not works hard),61.5,394,26.8,396,Edna Krabappel
remote (not involved),61.3,150,29.3,284,Edna Krabappel
domestic (not industrial),61.2,494,29.7,82,Edna Krabappel
💩 (not 🌟),61.1,290,28.3,111,Edna Krabappel
extrovert (not introvert),61,829,27.7,351,Edna Krabappel
💀 (not 🎃),60.9,698,31.4,47,Edna Krabappel
edgy (not politically correct),60.8,805,27.3,358,Edna Krabappel
proletariat (not bourgeoisie),60.8,695,29.9,303,Edna Krabappel
scrub (not legit),60.8,223,26.7,151,Edna Krabappel
punchable (not loveable),60.8,460,29.1,53,Edna Krabappel
factual (not poetic),60.8,771,28.9,50,Edna Krabappel
slothful (not active),60.6,151,26.3,311,Edna Krabappel
stick-in-the-mud (not adventurous),60.6,486,30.2,320,Edna Krabappel
fearmongering (not reassuring),60.6,525,27.6,34,Edna Krabappel
poisonous (not nurturing),60.5,537,24.9,110,Edna Krabappel
off-key (not musical),60.5,678,27.7,51,Edna Krabappel
psychopath (not empath),60.5,488,26.9,42,Edna Krabappel
stuck-in-the-past (not forward-thinking),60.4,493,32.1,37,Edna Krabappel
serious (not playful),60.3,975,27,386,Edna Krabappel
master (not apprentice),60.3,1050,26.8,128,Edna Krabappel
feminist (not sexist),60.2,1131,27.8,133,Edna Krabappel
thin (not thick),60,898,23.9,262,Edna Krabappel
intense (not lighthearted),60,1111,26,50,Edna Krabappel
guarded (not open),59.8,1257,29.1,339,Edna Krabappel
human (not animalistic),59.8,1231,30.6,312,Edna Krabappel
romantic (not dispassionate),59.8,1139,30.6,46,Edna Krabappel
soulless (not soulful),59.7,324,26.4,83,Edna Krabappel
slacker (not workaholic),59.7,308,31.3,82,Edna Krabappel
👩‍🔬 (not 👩‍🎤),59.6,690,30.1,122,Edna Krabappel
experimental (not reliable),59.6,631,30.4,37,Edna Krabappel
scheduled (not spontaneous),59.5,925,31,304,Edna Krabappel
close-minded (not open-minded),59.4,483,28.4,344,Edna Krabappel
slovenly (not stylish),59.2,460,26.5,388,Edna Krabappel
businesslike (not chivalrous),59.2,727,32.9,47,Edna Krabappel
tall (not short),59.1,901,21.1,381,Edna Krabappel
😬 (not 😏),59.1,488,31.9,119,Edna Krabappel
machiavellian (not transparent),59.1,676,33.4,37,Edna Krabappel
indiscreet (not tactful),59,378,29.5,114,Edna Krabappel
high IQ (not low IQ),58.9,1504,21.7,312,Edna Krabappel
hedonist (not monastic),58.8,719,29.6,75,Edna Krabappel
insecure (not confident),58.7,385,29.9,321,Edna Krabappel
reactive (not proactive),58.7,675,26.8,42,Edna Krabappel
down2earth (not head@clouds),58.5,843,29.5,347,Edna Krabappel
French (not Russian),58.5,916,30.7,50,Edna Krabappel
Pepsi (not Coke),58.4,368,37.8,37,Edna Krabappel
focused on the present (not focused on the future),58.3,678,30.6,321,Edna Krabappel
flirtatious (not prudish),58.3,852,28.9,31,Edna Krabappel
deep (not epic),58.2,594,24.1,36,Edna Krabappel
strict (not lenient),58.1,872,29.2,358,Edna Krabappel
lowbrow (not highbrow),58.1,383,28.8,319,Edna Krabappel
no-nonsense (not dramatic),57.9,682,31.7,182,Edna Krabappel
concrete (not abstract),57.9,930,31,100,Edna Krabappel
sturdy (not flimsy),57.9,1194,32.6,45,Edna Krabappel
utilitarian (not decorative),57.8,1042,29.1,76,Edna Krabappel
👨‍⚕️ (not 👨‍🔧),57.8,816,28.3,112,Edna Krabappel
English (not German),57.8,1594,34.1,44,Edna Krabappel
western (not eastern),57.7,1182,34.8,150,Edna Krabappel
pretentious (not unassuming),57.7,909,30.7,102,Edna Krabappel
🤑 (not 🤠),57.7,586,30.4,101,Edna Krabappel
indie (not pop),57.7,1067,31.1,41,Edna Krabappel
backdoor (not official),57.6,845,29.8,334,Edna Krabappel
patriotic (not unpatriotic),57.6,1209,29.8,102,Edna Krabappel
tattle-tale (not f***-the-police),57.6,530,33.4,52,Edna Krabappel
sickly (not healthy),57.5,363,27.1,307,Edna Krabappel
Swedish (not Italian),57.4,644,30.5,46,Edna Krabappel
🤣 (not 😊),57.3,545,28.9,116,Edna Krabappel
generalist (not specialist),57.2,359,31.4,65,Edna Krabappel
slow-talking (not fast-talking),57.2,462,26.8,40,Edna Krabappel
awkward (not charming),57.1,544,26,378,Edna Krabappel
rustic (not cultured),57.1,512,30.7,28,Edna Krabappel
secretive (not open-book),57,1125,31.8,53,Edna Krabappel
wooden (not plastic),56.9,1273,28,39,Edna Krabappel
🐐 (not 🦒),56.8,1107,32.2,154,Edna Krabappel
empirical (not theoretical),56.7,814,30.6,309,Edna Krabappel
self-conscious (not self-assured),56.6,410,29.7,314,Edna Krabappel
city-slicker (not country-bumpkin),56.6,1229,30,103,Edna Krabappel
🤡 (not 👽),56.6,584,30.9,107,Edna Krabappel
loose (not tight),56.5,492,31,59,Edna Krabappel
two-faced (not one-faced),56.4,555,31.3,57,Edna Krabappel
emotional (not unemotional),56.3,1301,31.7,41,Edna Krabappel
rational (not whimsical),56.2,1015,29,348,Edna Krabappel
charming (not trusting),56.1,866,24.6,308,Edna Krabappel
🤫 (not 🤔),56.1,462,32.4,106,Edna Krabappel
rebellious (not obedient),56,1119,28.8,312,Edna Krabappel
distant (not touchy-feely),55.9,954,31.2,36,Edna Krabappel
villainous (not heroic),55.8,425,22.5,377,Edna Krabappel
corporate (not freelance),55.8,661,30.9,44,Edna Krabappel
fire (not water),55.8,1081,33,42,Edna Krabappel
first-mate (not captain),55.7,869,31.8,328,Edna Krabappel
rugged (not refined),55.6,738,28.2,402,Edna Krabappel
political (not nonpolitical),55.6,975,31.1,308,Edna Krabappel
cruel (not kind),55.6,442,23.3,342,Edna Krabappel
coordinated (not clumsy),55.6,1224,28.6,318,Edna Krabappel
overprepared (not efficient),55.6,265,25.4,39,Edna Krabappel
variable (not consistent),55.6,539,30.4,47,Edna Krabappel
melee (not ranged),55.6,494,30.5,31,Edna Krabappel
serious (not bold),55.5,711,29.7,396,Edna Krabappel
wavering (not resolute),55.3,337,30.4,89,Edna Krabappel
🧐 (not 😎),55.3,767,32.3,113,Edna Krabappel
triggered (not trolling),55.3,1250,31.8,44,Edna Krabappel
messy (not neat),55.1,635,30.8,262,Edna Krabappel
manicured (not scruffy),55.1,1188,28.7,381,Edna Krabappel
subjective (not objective),55.1,753,32.4,70,Edna Krabappel
🧢 (not 🎩),55,832,32.3,95,Edna Krabappel
fixable (not unfixable),55,1102,25,35,Edna Krabappel
deliberate (not spontaneous),54.8,1143,32.2,321,Edna Krabappel
mighty (not puny),54.8,1333,25.9,343,Edna Krabappel
frugal (not lavish),54.8,984,27.5,319,Edna Krabappel
unpolished (not eloquent),54.8,642,29.8,278,Edna Krabappel
bad boy (not white knight),54.8,684,26.7,41,Edna Krabappel
pointed (not random),54.7,1409,31.4,48,Edna Krabappel
😜 (not 🤐),54.6,829,33.4,102,Edna Krabappel
dramatic (not comedic),54.6,1283,29.1,51,Edna Krabappel
love-focused (not money-focused),54.5,1272,35,25,Edna Krabappel
humorless (not funny),54.4,660,29.6,376,Edna Krabappel
drop out (not valedictorian),54.4,593,31.2,106,Edna Krabappel
not genocidal (not genocidal),54.4,1382,34.1,43,Edna Krabappel
circular (not linear),54.3,737,31.3,43,Edna Krabappel
winter (not summer),54.3,867,34.8,35,Edna Krabappel
traitorous (not loyal),54.2,379,26.8,322,Edna Krabappel
outsider (not insider),54.2,923,29.3,236,Edna Krabappel
creepy (not disarming),54.1,437,26.1,125,Edna Krabappel
whippersnapper (not sage),54.1,864,29.9,47,Edna Krabappel
careful (not brave),53.9,559,27.3,334,Edna Krabappel
not introspective (not introspective),53.9,474,32.2,128,Edna Krabappel
racist (not egalitarian),53.9,277,28.3,99,Edna Krabappel
OCD (not ADHD),53.9,1153,30.4,46,Edna Krabappel
washed (not muddy),53.9,1160,30,35,Edna Krabappel
vague (not precise),53.8,462,29.4,206,Edna Krabappel
noob (not pro),53.8,403,29.2,112,Edna Krabappel
reclusive (not social),53.8,774,28.1,170,Edna Krabappel
gregarious (not private),53.7,631,29.3,295,Edna Krabappel
tardy (not on-time),53.6,596,32.4,48,Edna Krabappel
unobservant (not perceptive),53.4,291,27.6,60,Edna Krabappel
always down (not picky),53.4,630,32.5,33,Edna Krabappel
folksy (not presidential),53.2,827,30,52,Edna Krabappel
armoured (not vulnerable),53.1,1176,31.1,328,Edna Krabappel
leisurely (not hurried),53.1,666,30.5,328,Edna Krabappel
regular (not zany),53.1,762,29.7,91,Edna Krabappel
🐮 (not 🐷),53.1,1201,32.6,160,Edna Krabappel
metrosexual (not macho),53.1,1168,31.7,36,Edna Krabappel
overspender (not penny-pincher),53,788,31.8,128,Edna Krabappel
sensible (not ludicrous),52.9,1146,28.5,327,Edna Krabappel
permanent (not transient),52.9,1051,31,115,Edna Krabappel
lazy (not diligent),52.8,231,29.1,371,Edna Krabappel
open to new experinces (not uncreative),52.8,1437,33.7,363,Edna Krabappel
disorganized (not self-disciplined),52.8,528,31.9,339,Edna Krabappel
long-winded (not concise),52.8,809,29.7,26,Edna Krabappel
enslaved (not emancipated),52.7,431,30.9,267,Edna Krabappel
builder (not explorer),52.7,859,28.1,280,Edna Krabappel
moderate (not extreme),52.6,669,28.9,331,Edna Krabappel
historical (not modern),52.6,806,29.7,239,Edna Krabappel
independent (not codependent),52.6,1235,32.9,341,Edna Krabappel
rhythmic (not stuttering),52.6,1462,28.4,37,Edna Krabappel
traditional (not unorthodox),52.5,803,34.8,70,Edna Krabappel
modest (not flamboyant),52.2,1053,29.7,338,Edna Krabappel
sleepy (not frenzied),52.2,197,29.4,41,Edna Krabappel
privileged (not oppressed),52.1,1279,33.1,46,Edna Krabappel
hunter (not gatherer),52.1,1042,33,42,Edna Krabappel
doer (not thinker),52.1,1316,31.2,51,Edna Krabappel
hypochondriac (not stoic),52.1,693,30,30,Edna Krabappel
Roman (not Greek),52,986,31.1,34,Edna Krabappel
genius (not dunce),51.9,1405,21.5,416,Edna Krabappel
provincial (not cosmopolitan),51.9,868,30.1,290,Edna Krabappel
claustrophobic (not spelunker),51.9,614,32.7,37,Edna Krabappel
'right-brained' (not 'left-brained'),51.8,748,29.2,214,Edna Krabappel
knowledgeable (not ignorant),51.8,1457,34.5,41,Edna Krabappel
resourceful (not helpless),51.7,1655,27.8,71,Edna Krabappel
liberal (not conservative),51.7,1269,33.2,105,Edna Krabappel
opinionated (not jealous),51.7,1567,31.8,39,Edna Krabappel
sheriff (not outlaw),51.6,972,29.5,301,Edna Krabappel
average (not deviant),51.6,701,31.3,253,Edna Krabappel
radical (not centrist),51.6,1084,32.3,42,Edna Krabappel
fast (not slow),51.5,1459,26.8,298,Edna Krabappel
competent (not incompetent),51.5,1598,30.6,325,Edna Krabappel
orderly (not chaotic),51.4,1039,30.2,407,Edna Krabappel
unfaithful (not devoted),51.4,299,29,39,Edna Krabappel
cheesy (not chic),51.4,1027,31,40,Edna Krabappel
quirky (not predictable),51.4,1035,33.2,39,Edna Krabappel
🦇 (not 🐿),51.3,797,32.5,93,Edna Krabappel
low self esteem (not narcissistic),51.3,749,30.4,58,Edna Krabappel
statist (not anarchist),51.2,1022,31.3,110,Edna Krabappel
formal (not intimate),51.2,945,31.3,172,Edna Krabappel
analysis (not common sense),51.2,1147,30.9,41,Edna Krabappel
conspiracist (not sheeple),51.1,1415,29.5,242,Edna Krabappel
hoarder (not unprepared),51.1,1264,27.6,238,Edna Krabappel
ugly (not beautiful),51.1,365,26.5,102,Edna Krabappel
🥶 (not 🥵),51.1,792,30.1,39,Edna Krabappel
👻 (not 🤖),50.1,1084,31.3,99,Edna Krabappel
🏌 (not 🤺),50.9,440,32.3,127,Edna Krabappel
normie (not freak),50.9,874,30.6,50,Edna Krabappel
instinctual (not reasoned),50.8,1162,29.1,333,Edna Krabappel
chill (not offended),50.2,827,29.3,46,Edna Krabappel
weird (not normal),50.7,1226,27.1,402,Edna Krabappel
obsessed (not aloof),50.7,1490,31.1,337,Edna Krabappel
quitter (not persistent),50.3,94,33.2,99,Edna Krabappel
expressive (not stoic),50.4,1208,29.9,370,Edna Krabappel
foolish (not wise),50.5,814,25.4,382,Edna Krabappel
repulsive (not attractive),50.5,464,24.7,400,Edna Krabappel
nerd (not jock),94.3,43,11.6,409,Waylon Smithers
submissive (not dominant),93.2,9,12.8,403,Waylon Smithers
beta (not alpha),92.6,9,14.4,370,Waylon Smithers
loyal (not traitorous),92.2,134,14.9,433,Waylon Smithers
neat (not messy),92.2,34,13.6,314,Waylon Smithers
obedient (not rebellious),92.1,8,14.1,355,Waylon Smithers
first-mate (not captain),91.7,10,16.3,369,Waylon Smithers
diligent (not lazy),91.6,205,10.6,415,Waylon Smithers
manicured (not scruffy),91.6,88,13.6,395,Waylon Smithers
bookish (not sporty),91.5,94,12.6,375,Waylon Smithers
scheduled (not spontaneous),90.6,49,14.3,380,Waylon Smithers
civilized (not barbaric),90.3,63,14.2,361,Waylon Smithers
self-disciplined (not disorganized),89.2,195,13.8,423,Waylon Smithers
codependent (not independent),89.1,11,21.4,408,Waylon Smithers
orderly (not chaotic),89,38,16.3,373,Waylon Smithers
intellectual (not physical),88.9,117,14.8,415,Waylon Smithers
metrosexual (not macho),88.7,13,13.2,62,Waylon Smithers
refined (not rugged),88.4,33,14.6,443,Waylon Smithers
on-time (not tardy),88,164,22,73,Waylon Smithers
lover (not fighter),87.9,29,11.7,48,Waylon Smithers
queer (not straight),87.7,55,19,138,Waylon Smithers
workaholic (not slacker),87.7,265,19.3,99,Waylon Smithers
meek (not bossy),87.5,16,18.7,417,Waylon Smithers
weakass (not badass),87.4,16,22,59,Waylon Smithers
tattle-tale (not f***-the-police),87.3,20,20.2,48,Waylon Smithers
passive (not assertive),87.1,10,19.6,354,Waylon Smithers
low self esteem (not narcissistic),87.1,18,19.1,65,Waylon Smithers
devoted (not unfaithful),87,333,20.4,47,Waylon Smithers
respectful (not rude),86.8,100,16.5,430,Waylon Smithers
boy/girl-next-door (not celebrity),86.8,82,16.8,34,Waylon Smithers
work-first (not family-first),86.2,135,22.7,379,Waylon Smithers
🧠 (not 💪),86.2,210,18,136,Waylon Smithers
cautious (not impulsive),86,29,15.8,391,Waylon Smithers
enslaved (not emancipated),85.7,5,21.3,395,Waylon Smithers
🎨 (not 🏀),85.7,191,17.3,69,Waylon Smithers
quiet (not loud),85.1,69,15.7,411,Waylon Smithers
🚴 (not 🏋️‍♂️),84.6,70,18,110,Waylon Smithers
🧐 (not 😎),84.5,47,17.5,127,Waylon Smithers
tailor (not blacksmith),84.5,37,15.7,36,Waylon Smithers
careful (not brave),84,19,16.7,443,Waylon Smithers
deliberate (not spontaneous),84,174,17.6,412,Waylon Smithers
eloquent (not unpolished),84,180,17.4,347,Waylon Smithers
works hard (not plays hard),83.5,222,20.1,378,Waylon Smithers
flower child (not goth),83.5,198,19.1,42,Waylon Smithers
methodical (not astonishing),83.2,71,17.2,389,Waylon Smithers
side character (not main character),83.2,144,24.9,40,Waylon Smithers
soft (not hard),82.9,94,20.5,90,Waylon Smithers
tame (not wild),82.7,41,20.8,348,Waylon Smithers
water (not fire),82.7,47,15,47,Waylon Smithers
gatherer (not hunter),82.5,89,23.5,39,Waylon Smithers
pacifist (not ferocious),82.4,52,20.1,383,Waylon Smithers
vintage (not trendy),82.4,217,23.3,49,Waylon Smithers
white knight (not bad boy),82.4,178,21.9,47,Waylon Smithers
patient (not impatient),82.4,72,21.2,143,Waylon Smithers
puny (not mighty),82.1,25,19.7,390,Waylon Smithers
preppy (not punk rock),82.1,191,25.8,41,Waylon Smithers
stick-in-the-mud (not adventurous),81.9,75,21.6,357,Waylon Smithers
OCD (not ADHD),81.9,117,25.1,50,Waylon Smithers
sensible (not ludicrous),81.5,140,20.2,405,Waylon Smithers
soft (not hard),81.4,122,20.9,381,Waylon Smithers
dorky (not cool),81.4,103,23.4,124,Waylon Smithers
pointed (not random),81.4,354,24.4,36,Waylon Smithers
corporate (not freelance),81.3,120,24.8,53,Waylon Smithers
reliable (not experimental),81.2,135,26.2,57,Waylon Smithers
valedictorian (not drop out),80.9,417,27,114,Waylon Smithers
perceptive (not unobservant),80.9,612,18.7,52,Waylon Smithers
tense (not relaxed),80.8,414,21.1,416,Waylon Smithers
well behaved (not mischievous),80.5,118,22.8,404,Waylon Smithers
giving (not receiving),80.5,219,26,42,Waylon Smithers
accommodating (not stubborn),80.4,35,23.6,61,Waylon Smithers
studious (not goof-off),80.4,468,23.5,145,Waylon Smithers
apprentice (not master),80.2,84,27.2,166,Waylon Smithers
obsessed (not aloof),80,197,24,383,Waylon Smithers
child free (not pronatalist),80,158,27.9,338,Waylon Smithers
high IQ (not low IQ),79.7,690,18.3,312,Waylon Smithers
shy (not bold),79.2,26,20.2,409,Waylon Smithers
